stride,offset,sequence_id,full_clips,selected_clips
2,1,seq0017,400,200
2,1,seq0018,400,200
2,1,seq0019,400,200
2,1,seq0021,400,200
2,1,seq0022,400,200
2,1,seq0024,400,200
2,1,seq0025,400,200
2,1,seq0026,400,200
2,1,seq0027,400,200
2,1,seq0028,400,200
2,1,seq0029,400,200
2,1,seq0030,400,200
2,1,seq0032,400,200
2,1,seq0033,400,200
2,1,seq0034,400,200
2,1,seq0038,400,200
2,1,seq0039,400,200
2,1,seq0040,400,200
2,1,seq0041,400,200
2,1,seq0043,400,200
2,1,seq0044,400,200
2,1,seq0045,400,200
2,1,seq0046,400,200
2,1,seq0047,400,200
2,1,seq0049,400,200
2,1,seq0051,400,200
2,1,seq0052,400,200
2,1,seq0053,400,200
2,1,seq0056,400,200
2,1,seq0057,400,200
2,1,seq0058,400,200
2,1,seq0060,200,100
2,1,seq0061,400,200
2,1,seq0062,400,200
2,1,seq0063,400,200
2,1,seq0064,400,200
2,1,seq0069,400,200
2,1,seq0070,400,200
2,1,seq0071,400,200
2,1,seq0072,400,200
2,1,seq0073,400,200
2,1,seq0074,400,200
2,1,seq0076,400,200
2,1,seq0077,400,200
2,1,seq0079,400,200
2,1,seq0080,400,200
2,1,seq0081,400,200
2,1,seq0082,400,200
2,1,seq0083,400,200
2,1,seq0085,400,200
2,1,seq0086,400,200
2,1,seq0088,400,200
2,1,seq0089,400,200
2,1,seq0091,400,200
2,1,seq0093,400,200
2,1,seq0094,400,200
2,1,seq0095,400,200
2,1,seq0096,400,200
2,1,seq0097,400,200
2,1,seq0099,400,200
2,1,seq0100,400,200
2,1,seq0102,400,200
4,0,seq0001,400,100
4,0,seq0002,400,100
4,0,seq0003,400,100
4,0,seq0004,400,100
4,0,seq0005,400,100
4,0,seq0006,400,100
4,0,seq0008,400,100
4,0,seq0010,400,100
4,0,seq0011,400,100
4,0,seq0016,400,100
4,0,seq0017,400,100
4,0,seq0018,400,100
4,0,seq0019,400,100
4,0,seq0021,400,100
4,0,seq0022,400,100
4,0,seq0024,400,100
4,0,seq0025,400,100
4,0,seq0026,400,100
4,0,seq0027,400,100
4,0,seq0028,400,100
4,0,seq0029,400,100
4,0,seq0030,400,100
4,0,seq0032,400,100
4,0,seq0033,400,100
4,0,seq0034,400,100
4,0,seq0038,400,100
4,0,seq0039,400,100
4,0,seq0040,400,100
4,0,seq0041,400,100
4,0,seq0043,400,100
4,0,seq0044,400,100
4,0,seq0045,400,100
4,0,seq0046,400,100
4,0,seq0047,400,100
4,0,seq0049,400,100
4,0,seq0051,400,100
4,0,seq0052,400,100
4,0,seq0053,400,100
4,0,seq0056,400,100
4,0,seq0057,400,100
4,0,seq0058,400,100
4,0,seq0060,200,50
4,0,seq0061,400,100
4,0,seq0062,400,100
4,0,seq0063,400,100
4,0,seq0064,400,100
4,0,seq0069,400,100
4,0,seq0070,400,100
4,0,seq0071,400,100
4,0,seq0072,400,100
4,0,seq0073,400,100
4,0,seq0074,400,100
4,0,seq0076,400,100
4,0,seq0077,400,100
4,0,seq0079,400,100
4,0,seq0080,400,100
4,0,seq0081,400,100
4,0,seq0082,400,100
4,0,seq0083,400,100
4,0,seq0085,400,100
4,0,seq0086,400,100
4,0,seq0088,400,100
4,0,seq0089,400,100
4,0,seq0091,400,100
4,0,seq0093,400,100
4,0,seq0094,400,100
4,0,seq0095,400,100
4,0,seq0096,400,100
4,0,seq0097,400,100
4,0,seq0099,400,100
4,0,seq0100,400,100
4,0,seq0102,400,100
4,1,seq0001,400,100
4,1,seq0002,400,100
4,1,seq0003,400,100
4,1,seq0004,400,100
4,1,seq0005,400,100
4,1,seq0006,400,100
4,1,seq0008,400,100
4,1,seq0010,400,100
4,1,seq0011,400,100
4,1,seq0016,400,100
4,1,seq0017,400,100
4,1,seq0018,400,100
4,1,seq0019,400,100
4,1,seq0021,400,100
4,1,seq0022,400,100
4,1,seq0024,400,100
4,1,seq0025,400,100
4,1,seq0026,400,100
4,1,seq0027,400,100
4,1,seq0028,400,100
4,1,seq0029,400,100
4,1,seq0030,400,100
4,1,seq0032,400,100
4,1,seq0033,400,100
4,1,seq0034,400,100
4,1,seq0038,400,100
4,1,seq0039,400,100
4,1,seq0040,400,100
4,1,seq0041,400,100
4,1,seq0043,400,100
4,1,seq0044,400,100
4,1,seq0045,400,100
4,1,seq0046,400,100
4,1,seq0047,400,100
4,1,seq0049,400,100
4,1,seq0051,400,100
4,1,seq0052,400,100
4,1,seq0053,400,100
4,1,seq0056,400,100
4,1,seq0057,400,100
4,1,seq0058,400,100
4,1,seq0060,200,50
4,1,seq0061,400,100
4,1,seq0062,400,100
4,1,seq0063,400,100
4,1,seq0064,400,100
4,1,seq0069,400,100
4,1,seq0070,400,100
4,1,seq0071,400,100
4,1,seq0072,400,100
4,1,seq0073,400,100
4,1,seq0074,400,100
4,1,seq0076,400,100
4,1,seq0077,400,100
4,1,seq0079,400,100
4,1,seq0080,400,100
4,1,seq0081,400,100
4,1,seq0082,400,100
4,1,seq0083,400,100
4,1,seq0085,400,100
4,1,seq0086,400,100
4,1,seq0088,400,100
4,1,seq0089,400,100
4,1,seq0091,400,100
4,1,seq0093,400,100
4,1,seq0094,400,100
4,1,seq0095,400,100
4,1,seq0096,400,100
4,1,seq0097,400,100
4,1,seq0099,400,100
4,1,seq0100,400,100
4,1,seq0102,400,100
4,2,seq0001,400,100
4,2,seq0002,400,100
4,2,seq0003,400,100
4,2,seq0004,400,100
4,2,seq0005,400,100
4,2,seq0006,400,100
4,2,seq0008,400,100
4,2,seq0010,400,100
4,2,seq0011,400,100
4,2,seq0016,400,100
4,2,seq0017,400,100
4,2,seq0018,400,100
4,2,seq0019,400,100
4,2,seq0021,400,100
4,2,seq0022,400,100
4,2,seq0024,400,100
4,2,seq0025,400,100
4,2,seq0026,400,100
4,2,seq0027,400,100
4,2,seq0028,400,100
4,2,seq0029,400,100
4,2,seq0030,400,100
4,2,seq0032,400,100
4,2,seq0033,400,100
4,2,seq0034,400,100
4,2,seq0038,400,100
4,2,seq0039,400,100
4,2,seq0040,400,100
4,2,seq0041,400,100
4,2,seq0043,400,100
4,2,seq0044,400,100
4,2,seq0045,400,100
4,2,seq0046,400,100
4,2,seq0047,400,100
4,2,seq0049,400,100
4,2,seq0051,400,100
4,2,seq0052,400,100
4,2,seq0053,400,100
4,2,seq0056,400,100
4,2,seq0057,400,100
4,2,seq0058,400,100
4,2,seq0060,200,50
4,2,seq0061,400,100
4,2,seq0062,400,100
4,2,seq0063,400,100
4,2,seq0064,400,100
4,2,seq0069,400,100
4,2,seq0070,400,100
4,2,seq0071,400,100
4,2,seq0072,400,100
4,2,seq0073,400,100
4,2,seq0074,400,100
4,2,seq0076,400,100
4,2,seq0077,400,100
4,2,seq0079,400,100
4,2,seq0080,400,100
4,2,seq0081,400,100
4,2,seq0082,400,100
4,2,seq0083,400,100
4,2,seq0085,400,100
4,2,seq0086,400,100
4,2,seq0088,400,100
4,2,seq0089,400,100
4,2,seq0091,400,100
4,2,seq0093,400,100
4,2,seq0094,400,100
4,2,seq0095,400,100
4,2,seq0096,400,100
4,2,seq0097,400,100
4,2,seq0099,400,100
4,2,seq0100,400,100
4,2,seq0102,400,100
4,3,seq0001,400,100
4,3,seq0002,400,100
4,3,seq0003,400,100
4,3,seq0004,400,100
4,3,seq0005,400,100
4,3,seq0006,400,100
4,3,seq0008,400,100
4,3,seq0010,400,100
4,3,seq0011,400,100
4,3,seq0016,400,100
4,3,seq0017,400,100
4,3,seq0018,400,100
4,3,seq0019,400,100
4,3,seq0021,400,100
4,3,seq0022,400,100
4,3,seq0024,400,100
4,3,seq0025,400,100
4,3,seq0026,400,100
4,3,seq0027,400,100
4,3,seq0028,400,100
4,3,seq0029,400,100
4,3,seq0030,400,100
4,3,seq0032,400,100
4,3,seq0033,400,100
4,3,seq0034,400,100
4,3,seq0038,400,100
4,3,seq0039,400,100
4,3,seq0040,400,100
4,3,seq0041,400,100
4,3,seq0043,400,100
4,3,seq0044,400,100
4,3,seq0045,400,100
4,3,seq0046,400,100
4,3,seq0047,400,100
4,3,seq0049,400,100
4,3,seq0051,400,100
4,3,seq0052,400,100
4,3,seq0053,400,100
4,3,seq0056,400,100
4,3,seq0057,400,100
4,3,seq0058,400,100
4,3,seq0060,200,50
4,3,seq0061,400,100
4,3,seq0062,400,100
4,3,seq0063,400,100
4,3,seq0064,400,100
4,3,seq0069,400,100
4,3,seq0070,400,100
4,3,seq0071,400,100
4,3,seq0072,400,100
4,3,seq0073,400,100
4,3,seq0074,400,100
4,3,seq0076,400,100
4,3,seq0077,400,100
4,3,seq0079,400,100
4,3,seq0080,400,100
4,3,seq0081,400,100
4,3,seq0082,400,100
4,3,seq0083,400,100
4,3,seq0085,400,100
4,3,seq0086,400,100
4,3,seq0088,400,100
4,3,seq0089,400,100
4,3,seq0091,400,100
4,3,seq0093,400,100
4,3,seq0094,400,100
4,3,seq0095,400,100
4,3,seq0096,400,100
4,3,seq0097,400,100
4,3,seq0099,400,100
4,3,seq0100,400,100
4,3,seq0102,400,100
8,0,seq0001,400,50
8,0,seq0002,400,50
8,0,seq0003,400,50
8,0,seq0004,400,50
8,0,seq0005,400,50
8,0,seq0006,400,50
8,0,seq0008,400,50
8,0,seq0010,400,50
8,0,seq0011,400,50
8,0,seq0016,400,50
8,0,seq0017,400,50
8,0,seq0018,400,50
8,0,seq0019,400,50
8,0,seq0021,400,50
8,0,seq0022,400,50
8,0,seq0024,400,50
8,0,seq0025,400,50
8,0,seq0026,400,50
8,0,seq0027,400,50
8,0,seq0028,400,50
8,0,seq0029,400,50
8,0,seq0030,400,50
8,0,seq0032,400,50
8,0,seq0033,400,50
8,0,seq0034,400,50
8,0,seq0038,400,50
8,0,seq0039,400,50
8,0,seq0040,400,50
8,0,seq0041,400,50
8,0,seq0043,400,50
8,0,seq0044,400,50
8,0,seq0045,400,50
8,0,seq0046,400,50
8,0,seq0047,400,50
8,0,seq0049,400,50
8,0,seq0051,400,50
8,0,seq0052,400,50
8,0,seq0053,400,50
8,0,seq0056,400,50
8,0,seq0057,400,50
8,0,seq0058,400,50
8,0,seq0060,200,25
8,0,seq0061,400,50
8,0,seq0062,400,50
8,0,seq0063,400,50
8,0,seq0064,400,50
8,0,seq0069,400,50
8,0,seq0070,400,50
8,0,seq0071,400,50
8,0,seq0072,400,50
8,0,seq0073,400,50
8,0,seq0074,400,50
8,0,seq0076,400,50
8,0,seq0077,400,50
8,0,seq0079,400,50
8,0,seq0080,400,50
8,0,seq0081,400,50
8,0,seq0082,400,50
8,0,seq0083,400,50
8,0,seq0085,400,50
8,0,seq0086,400,50
8,0,seq0088,400,50
8,0,seq0089,400,50
8,0,seq0091,400,50
8,0,seq0093,400,50
8,0,seq0094,400,50
8,0,seq0095,400,50
8,0,seq0096,400,50
8,0,seq0097,400,50
8,0,seq0099,400,50
8,0,seq0100,400,50
8,0,seq0102,400,50
8,1,seq0001,400,50
8,1,seq0002,400,50
8,1,seq0003,400,50
8,1,seq0004,400,50
8,1,seq0005,400,50
8,1,seq0006,400,50
8,1,seq0008,400,50
8,1,seq0010,400,50
8,1,seq0011,400,50
8,1,seq0016,400,50
8,1,seq0017,400,50
8,1,seq0018,400,50
8,1,seq0019,400,50
8,1,seq0021,400,50
8,1,seq0022,400,50
8,1,seq0024,400,50
8,1,seq0025,400,50
8,1,seq0026,400,50
8,1,seq0027,400,50
8,1,seq0028,400,50
8,1,seq0029,400,50
8,1,seq0030,400,50
8,1,seq0032,400,50
8,1,seq0033,400,50
8,1,seq0034,400,50
8,1,seq0038,400,50
8,1,seq0039,400,50
8,1,seq0040,400,50
8,1,seq0041,400,50
8,1,seq0043,400,50
8,1,seq0044,400,50
8,1,seq0045,400,50
8,1,seq0046,400,50
8,1,seq0047,400,50
8,1,seq0049,400,50
8,1,seq0051,400,50
8,1,seq0052,400,50
8,1,seq0053,400,50
8,1,seq0056,400,50
8,1,seq0057,400,50
8,1,seq0058,400,50
8,1,seq0060,200,25
8,1,seq0061,400,50
8,1,seq0062,400,50
8,1,seq0063,400,50
8,1,seq0064,400,50
8,1,seq0069,400,50
8,1,seq0070,400,50
8,1,seq0071,400,50
8,1,seq0072,400,50
8,1,seq0073,400,50
8,1,seq0074,400,50
8,1,seq0076,400,50
8,1,seq0077,400,50
8,1,seq0079,400,50
8,1,seq0080,400,50
8,1,seq0081,400,50
8,1,seq0082,400,50
8,1,seq0083,400,50
8,1,seq0085,400,50
8,1,seq0086,400,50
8,1,seq0088,400,50
8,1,seq0089,400,50
8,1,seq0091,400,50
8,1,seq0093,400,50
8,1,seq0094,400,50
8,1,seq0095,400,50
8,1,seq0096,400,50
8,1,seq0097,400,50
8,1,seq0099,400,50
8,1,seq0100,400,50
8,1,seq0102,400,50
8,2,seq0001,400,50
8,2,seq0002,400,50
8,2,seq0003,400,50
8,2,seq0004,400,50
8,2,seq0005,400,50
8,2,seq0006,400,50
8,2,seq0008,400,50
8,2,seq0010,400,50
8,2,seq0011,400,50
8,2,seq0016,400,50
8,2,seq0017,400,50
8,2,seq0018,400,50
8,2,seq0019,400,50
8,2,seq0021,400,50
8,2,seq0022,400,50
8,2,seq0024,400,50
8,2,seq0025,400,50
8,2,seq0026,400,50
8,2,seq0027,400,50
8,2,seq0028,400,50
8,2,seq0029,400,50
8,2,seq0030,400,50
8,2,seq0032,400,50
8,2,seq0033,400,50
8,2,seq0034,400,50
8,2,seq0038,400,50
8,2,seq0039,400,50
8,2,seq0040,400,50
8,2,seq0041,400,50
8,2,seq0043,400,50
8,2,seq0044,400,50
8,2,seq0045,400,50
8,2,seq0046,400,50
8,2,seq0047,400,50
8,2,seq0049,400,50
8,2,seq0051,400,50
8,2,seq0052,400,50
8,2,seq0053,400,50
8,2,seq0056,400,50
8,2,seq0057,400,50
8,2,seq0058,400,50
8,2,seq0060,200,25
8,2,seq0061,400,50
8,2,seq0062,400,50
8,2,seq0063,400,50
8,2,seq0064,400,50
8,2,seq0069,400,50
8,2,seq0070,400,50
8,2,seq0071,400,50
8,2,seq0072,400,50
8,2,seq0073,400,50
8,2,seq0074,400,50
8,2,seq0076,400,50
8,2,seq0077,400,50
8,2,seq0079,400,50
8,2,seq0080,400,50
8,2,seq0081,400,50
8,2,seq0082,400,50
8,2,seq0083,400,50
8,2,seq0085,400,50
8,2,seq0086,400,50
8,2,seq0088,400,50
8,2,seq0089,400,50
8,2,seq0091,400,50
8,2,seq0093,400,50
8,2,seq0094,400,50
8,2,seq0095,400,50
8,2,seq0096,400,50
8,2,seq0097,400,50
8,2,seq0099,400,50
8,2,seq0100,400,50
8,2,seq0102,400,50
8,3,seq0001,400,50
8,3,seq0002,400,50
8,3,seq0003,400,50
8,3,seq0004,400,50
8,3,seq0005,400,50
8,3,seq0006,400,50
8,3,seq0008,400,50
8,3,seq0010,400,50
8,3,seq0011,400,50
8,3,seq0016,400,50
8,3,seq0017,400,50
8,3,seq0018,400,50
8,3,seq0019,400,50
8,3,seq0021,400,50
8,3,seq0022,400,50
8,3,seq0024,400,50
8,3,seq0025,400,50
8,3,seq0026,400,50
8,3,seq0027,400,50
8,3,seq0028,400,50
8,3,seq0029,400,50
8,3,seq0030,400,50
8,3,seq0032,400,50
8,3,seq0033,400,50
8,3,seq0034,400,50
8,3,seq0038,400,50
8,3,seq0039,400,50
8,3,seq0040,400,50
8,3,seq0041,400,50
8,3,seq0043,400,50
8,3,seq0044,400,50
8,3,seq0045,400,50
8,3,seq0046,400,50
8,3,seq0047,400,50
8,3,seq0049,400,50
8,3,seq0051,400,50
8,3,seq0052,400,50
8,3,seq0053,400,50
8,3,seq0056,400,50
8,3,seq0057,400,50
8,3,seq0058,400,50
8,3,seq0060,200,25
8,3,seq0061,400,50
8,3,seq0062,400,50
8,3,seq0063,400,50
8,3,seq0064,400,50
8,3,seq0069,400,50
8,3,seq0070,400,50
8,3,seq0071,400,50
8,3,seq0072,400,50
8,3,seq0073,400,50
8,3,seq0074,400,50
8,3,seq0076,400,50
8,3,seq0077,400,50
8,3,seq0079,400,50
8,3,seq0080,400,50
8,3,seq0081,400,50
8,3,seq0082,400,50
8,3,seq0083,400,50
8,3,seq0085,400,50
8,3,seq0086,400,50
8,3,seq0088,400,50
8,3,seq0089,400,50
8,3,seq0091,400,50
8,3,seq0093,400,50
8,3,seq0094,400,50
8,3,seq0095,400,50
8,3,seq0096,400,50
8,3,seq0097,400,50
8,3,seq0099,400,50
8,3,seq0100,400,50
8,3,seq0102,400,50
8,4,seq0001,400,50
8,4,seq0002,400,50
8,4,seq0003,400,50
8,4,seq0004,400,50
8,4,seq0005,400,50
8,4,seq0006,400,50
8,4,seq0008,400,50
8,4,seq0010,400,50
8,4,seq0011,400,50
8,4,seq0016,400,50
8,4,seq0017,400,50
8,4,seq0018,400,50
8,4,seq0019,400,50
8,4,seq0021,400,50
8,4,seq0022,400,50
8,4,seq0024,400,50
8,4,seq0025,400,50
8,4,seq0026,400,50
8,4,seq0027,400,50
8,4,seq0028,400,50
8,4,seq0029,400,50
8,4,seq0030,400,50
8,4,seq0032,400,50
8,4,seq0033,400,50
8,4,seq0034,400,50
8,4,seq0038,400,50
8,4,seq0039,400,50
8,4,seq0040,400,50
8,4,seq0041,400,50
8,4,seq0043,400,50
8,4,seq0044,400,50
8,4,seq0045,400,50
8,4,seq0046,400,50
8,4,seq0047,400,50
8,4,seq0049,400,50
8,4,seq0051,400,50
8,4,seq0052,400,50
8,4,seq0053,400,50
8,4,seq0056,400,50
8,4,seq0057,400,50
8,4,seq0058,400,50
8,4,seq0060,200,25
8,4,seq0061,400,50
8,4,seq0062,400,50
8,4,seq0063,400,50
8,4,seq0064,400,50
8,4,seq0069,400,50
8,4,seq0070,400,50
8,4,seq0071,400,50
8,4,seq0072,400,50
8,4,seq0073,400,50
8,4,seq0074,400,50
8,4,seq0076,400,50
8,4,seq0077,400,50
8,4,seq0079,400,50
8,4,seq0080,400,50
8,4,seq0081,400,50
8,4,seq0082,400,50
8,4,seq0083,400,50
8,4,seq0085,400,50
8,4,seq0086,400,50
8,4,seq0088,400,50
8,4,seq0089,400,50
8,4,seq0091,400,50
8,4,seq0093,400,50
8,4,seq0094,400,50
8,4,seq0095,400,50
8,4,seq0096,400,50
8,4,seq0097,400,50
8,4,seq0099,400,50
8,4,seq0100,400,50
8,4,seq0102,400,50
8,5,seq0001,400,50
8,5,seq0002,400,50
8,5,seq0003,400,50
8,5,seq0004,400,50
8,5,seq0005,400,50
8,5,seq0006,400,50
8,5,seq0008,400,50
8,5,seq0010,400,50
8,5,seq0011,400,50
8,5,seq0016,400,50
8,5,seq0017,400,50
8,5,seq0018,400,50
8,5,seq0019,400,50
8,5,seq0021,400,50
8,5,seq0022,400,50
8,5,seq0024,400,50
8,5,seq0025,400,50
8,5,seq0026,400,50
8,5,seq0027,400,50
8,5,seq0028,400,50
8,5,seq0029,400,50
8,5,seq0030,400,50
8,5,seq0032,400,50
8,5,seq0033,400,50
8,5,seq0034,400,50
8,5,seq0038,400,50
8,5,seq0039,400,50
8,5,seq0040,400,50
8,5,seq0041,400,50
8,5,seq0043,400,50
8,5,seq0044,400,50
8,5,seq0045,400,50
8,5,seq0046,400,50
8,5,seq0047,400,50
8,5,seq0049,400,50
8,5,seq0051,400,50
8,5,seq0052,400,50
8,5,seq0053,400,50
8,5,seq0056,400,50
8,5,seq0057,400,50
8,5,seq0058,400,50
8,5,seq0060,200,25
8,5,seq0061,400,50
8,5,seq0062,400,50
8,5,seq0063,400,50
8,5,seq0064,400,50
8,5,seq0069,400,50
8,5,seq0070,400,50
8,5,seq0071,400,50
8,5,seq0072,400,50
8,5,seq0073,400,50
8,5,seq0074,400,50
8,5,seq0076,400,50
8,5,seq0077,400,50
8,5,seq0079,400,50
8,5,seq0080,400,50
8,5,seq0081,400,50
8,5,seq0082,400,50
8,5,seq0083,400,50
8,5,seq0085,400,50
8,5,seq0086,400,50
8,5,seq0088,400,50
8,5,seq0089,400,50
8,5,seq0091,400,50
8,5,seq0093,400,50
8,5,seq0094,400,50
8,5,seq0095,400,50
8,5,seq0096,400,50
8,5,seq0097,400,50
8,5,seq0099,400,50
8,5,seq0100,400,50
8,5,seq0102,400,50
8,6,seq0001,400,50
8,6,seq0002,400,50
8,6,seq0003,400,50
8,6,seq0004,400,50
8,6,seq0005,400,50
8,6,seq0006,400,50
8,6,seq0008,400,50
8,6,seq0010,400,50
8,6,seq0011,400,50
8,6,seq0016,400,50
8,6,seq0017,400,50
8,6,seq0018,400,50
8,6,seq0019,400,50
8,6,seq0021,400,50
8,6,seq0022,400,50
8,6,seq0024,400,50
8,6,seq0025,400,50
8,6,seq0026,400,50
8,6,seq0027,400,50
8,6,seq0028,400,50
8,6,seq0029,400,50
8,6,seq0030,400,50
8,6,seq0032,400,50
8,6,seq0033,400,50
8,6,seq0034,400,50
8,6,seq0038,400,50
8,6,seq0039,400,50
8,6,seq0040,400,50
8,6,seq0041,400,50
8,6,seq0043,400,50
8,6,seq0044,400,50
8,6,seq0045,400,50
8,6,seq0046,400,50
8,6,seq0047,400,50
8,6,seq0049,400,50
8,6,seq0051,400,50
8,6,seq0052,400,50
8,6,seq0053,400,50
8,6,seq0056,400,50
8,6,seq0057,400,50
8,6,seq0058,400,50
8,6,seq0060,200,25
8,6,seq0061,400,50
8,6,seq0062,400,50
8,6,seq0063,400,50
8,6,seq0064,400,50
8,6,seq0069,400,50
8,6,seq0070,400,50
8,6,seq0071,400,50
8,6,seq0072,400,50
8,6,seq0073,400,50
8,6,seq0074,400,50
8,6,seq0076,400,50
8,6,seq0077,400,50
8,6,seq0079,400,50
8,6,seq0080,400,50
8,6,seq0081,400,50
8,6,seq0082,400,50
8,6,seq0083,400,50
8,6,seq0085,400,50
8,6,seq0086,400,50
8,6,seq0088,400,50
8,6,seq0089,400,50
8,6,seq0091,400,50
8,6,seq0093,400,50
8,6,seq0094,400,50
8,6,seq0095,400,50
8,6,seq0096,400,50
8,6,seq0097,400,50
8,6,seq0099,400,50
8,6,seq0100,400,50
8,6,seq0102,400,50
8,7,seq0001,400,50
8,7,seq0002,400,50
8,7,seq0003,400,50
8,7,seq0004,400,50
8,7,seq0005,400,50
8,7,seq0006,400,50
8,7,seq0008,400,50
8,7,seq0010,400,50
8,7,seq0011,400,50
8,7,seq0016,400,50
8,7,seq0017,400,50
8,7,seq0018,400,50
8,7,seq0019,400,50
8,7,seq0021,400,50
8,7,seq0022,400,50
8,7,seq0024,400,50
8,7,seq0025,400,50
8,7,seq0026,400,50
8,7,seq0027,400,50
8,7,seq0028,400,50
8,7,seq0029,400,50
8,7,seq0030,400,50
8,7,seq0032,400,50
8,7,seq0033,400,50
8,7,seq0034,400,50
8,7,seq0038,400,50
8,7,seq0039,400,50
8,7,seq0040,400,50
8,7,seq0041,400,50
8,7,seq0043,400,50
8,7,seq0044,400,50
8,7,seq0045,400,50
8,7,seq0046,400,50
8,7,seq0047,400,50
8,7,seq0049,400,50
8,7,seq0051,400,50
8,7,seq0052,400,50
8,7,seq0053,400,50
8,7,seq0056,400,50
8,7,seq0057,400,50
8,7,seq0058,400,50
8,7,seq0060,200,25
8,7,seq0061,400,50
8,7,seq0062,400,50
8,7,seq0063,400,50
8,7,seq0064,400,50
8,7,seq0069,400,50
8,7,seq0070,400,50
8,7,seq0071,400,50
8,7,seq0072,400,50
8,7,seq0073,400,50
8,7,seq0074,400,50
8,7,seq0076,400,50
8,7,seq0077,400,50
8,7,seq0079,400,50
8,7,seq0080,400,50
8,7,seq0081,400,50
8,7,seq0082,400,50
8,7,seq0083,400,50
8,7,seq0085,400,50
8,7,seq0086,400,50
8,7,seq0088,400,50
8,7,seq0089,400,50
8,7,seq0091,400,50
8,7,seq0093,400,50
