level,pattern,occupied_slots,count,frequency
L0_to_L1,10111111,7,10,0.0006940106877645916
L0_to_L1,01011000,3,9,0.0006246096189881324
L0_to_L1,00101110,4,9,0.0006246096189881324
L0_to_L1,11000010,3,9,0.0006246096189881324
L0_to_L1,10111010,5,9,0.0006246096189881324
L0_to_L1,01001001,3,9,0.0006246096189881324
L0_to_L1,11000001,3,9,0.0006246096189881324
L0_to_L1,01001011,4,9,0.0006246096189881324
L0_to_L1,11011110,6,9,0.0006246096189881324
L0_to_L1,11100010,4,8,0.0005552085502116733
L0_to_L1,01101110,5,8,0.0005552085502116733
L0_to_L1,10101100,4,8,0.0005552085502116733
L0_to_L1,10011011,5,8,0.0005552085502116733
L0_to_L1,01000011,3,8,0.0005552085502116733
L0_to_L1,11101110,6,8,0.0005552085502116733
L0_to_L1,10001111,5,8,0.0005552085502116733
L0_to_L1,01001101,4,8,0.0005552085502116733
L0_to_L1,11011100,5,8,0.0005552085502116733
L0_to_L1,00111011,5,8,0.0005552085502116733
L0_to_L1,11101100,5,8,0.0005552085502116733
L0_to_L1,10110011,5,8,0.0005552085502116733
L0_to_L1,00011001,3,7,0.0004858074814352141
L0_to_L1,11010010,4,7,0.0004858074814352141
L0_to_L1,11101011,6,7,0.0004858074814352141
L0_to_L1,11111011,7,7,0.0004858074814352141
L0_to_L1,01011110,5,7,0.0004858074814352141
L0_to_L1,00111101,5,7,0.0004858074814352141
L0_to_L1,11011111,7,7,0.0004858074814352141
L0_to_L1,11111111,8,7,0.0004858074814352141
L0_to_L1,11100011,5,7,0.0004858074814352141
L0_to_L1,11001101,5,7,0.0004858074814352141
L0_to_L1,01110100,4,7,0.0004858074814352141
L0_to_L1,00111000,3,7,0.0004858074814352141
L0_to_L1,00011010,3,6,0.00041640641265875496
L0_to_L1,01001110,4,6,0.00041640641265875496
L0_to_L1,10011000,3,6,0.00041640641265875496
L0_to_L1,00111001,4,6,0.00041640641265875496
L0_to_L1,11010101,5,6,0.00041640641265875496
L0_to_L1,01000110,3,6,0.00041640641265875496
L0_to_L1,00011011,4,6,0.00041640641265875496
L0_to_L1,10111110,6,6,0.00041640641265875496
L0_to_L1,00011111,5,6,0.00041640641265875496
L0_to_L1,10000101,3,6,0.00041640641265875496
L0_to_L1,10101110,5,6,0.00041640641265875496
L0_to_L1,01100011,4,6,0.00041640641265875496
L0_to_L1,11110011,6,6,0.00041640641265875496
L0_to_L1,10111000,4,6,0.00041640641265875496
L0_to_L1,11111110,7,6,0.00041640641265875496
L0_to_L1,11010100,4,6,0.00041640641265875496
L0_to_L1,11000011,4,5,0.0003470053438822958
L0_to_L1,00100100,2,5,0.0003470053438822958
L0_to_L1,10001001,3,5,0.0003470053438822958
L0_to_L1,10011001,4,5,0.0003470053438822958
L0_to_L1,11110111,7,5,0.0003470053438822958
L0_to_L1,11011010,5,5,0.0003470053438822958
L0_to_L1,01110011,5,5,0.0003470053438822958
L0_to_L1,00111111,6,5,0.0003470053438822958
L0_to_L1,01111110,6,5,0.0003470053438822958
L0_to_L1,00110101,4,5,0.0003470053438822958
L0_to_L1,10011101,5,5,0.0003470053438822958
L0_to_L1,10111011,6,5,0.0003470053438822958
L0_to_L1,10111001,5,5,0.0003470053438822958
L0_to_L1,00010111,4,5,0.0003470053438822958
L0_to_L1,01111000,4,5,0.0003470053438822958
L0_to_L1,01000111,4,4,0.00027760427510583664
L0_to_L1,01010110,4,4,0.00027760427510583664
L0_to_L1,00101011,4,4,0.00027760427510583664
L0_to_L1,11111100,6,4,0.00027760427510583664
L0_to_L1,01010111,5,4,0.00027760427510583664
L0_to_L1,11000101,4,4,0.00027760427510583664
L0_to_L1,11100111,6,4,0.00027760427510583664
L0_to_L1,01111111,7,4,0.00027760427510583664
L0_to_L1,10110010,4,4,0.00027760427510583664
L0_to_L1,01111101,6,4,0.00027760427510583664
L0_to_L1,11001010,4,4,0.00027760427510583664
L0_to_L1,11110100,5,4,0.00027760427510583664
L0_to_L1,01110001,4,4,0.00027760427510583664
L0_to_L1,01110111,6,4,0.00027760427510583664
L0_to_L1,11011000,4,3,0.00020820320632937748
L0_to_L1,01011001,4,3,0.00020820320632937748
L0_to_L1,01100100,3,3,0.00020820320632937748
L0_to_L1,00100110,3,3,0.00020820320632937748
L0_to_L1,01111100,5,3,0.00020820320632937748
L0_to_L1,01001010,3,3,0.00020820320632937748
L0_to_L1,10110001,4,3,0.00020820320632937748
L0_to_L1,01101100,4,3,0.00020820320632937748
L0_to_L1,01011011,5,3,0.00020820320632937748
L0_to_L1,11001001,4,3,0.00020820320632937748
L0_to_L1,00011100,3,3,0.00020820320632937748
L0_to_L1,01111011,6,3,0.00020820320632937748
L0_to_L1,01010010,3,2,0.00013880213755291832
L0_to_L1,01101000,3,2,0.00013880213755291832
L0_to_L1,01110101,5,2,0.00013880213755291832
L0_to_L1,11010011,5,2,0.00013880213755291832
L0_to_L1,11000110,4,2,0.00013880213755291832
L0_to_L1,11011001,5,2,0.00013880213755291832
L0_to_L1,10101101,5,2,0.00013880213755291832
L0_to_L1,10100011,4,2,0.00013880213755291832
L0_to_L1,01100111,5,2,0.00013880213755291832
L0_to_L1,10010011,4,2,0.00013880213755291832
L0_to_L1,10010010,3,2,0.00013880213755291832
L0_to_L1,00101111,5,2,0.00013880213755291832
L0_to_L1,10101111,6,2,0.00013880213755291832
L0_to_L1,11001110,5,2,0.00013880213755291832
L0_to_L1,11101111,7,2,0.00013880213755291832
L0_to_L1,01100110,4,2,0.00013880213755291832
L0_to_L1,10010111,5,2,0.00013880213755291832
L0_to_L1,10100001,3,1,6.940106877645916e-05
L0_to_L1,00110110,4,1,6.940106877645916e-05
L0_to_L1,11100001,4,1,6.940106877645916e-05
L0_to_L1,11101010,5,1,6.940106877645916e-05
L0_to_L1,10100101,4,1,6.940106877645916e-05
L0_to_L1,11100100,4,1,6.940106877645916e-05
L0_to_L1,11010111,6,1,6.940106877645916e-05
L0_to_L1,11010110,5,1,6.940106877645916e-05
L1_to_L2,00010000,1,346,0.056434513129995104
L1_to_L2,00100000,1,335,0.05464035230794324
L1_to_L2,00000100,1,312,0.050888925134562064
L1_to_L2,01010101,4,305,0.04974718642961996
L1_to_L2,00000010,1,281,0.045832653726961346
L1_to_L2,00001000,1,244,0.03979774914369597
L1_to_L2,01000000,1,238,0.038819115968031316
L1_to_L2,00000001,1,236,0.03849290490947643
L1_to_L2,10000000,1,234,0.03816669385092154
L1_to_L2,11110000,4,175,0.02854346762355244
L1_to_L2,00110011,4,157,0.025607568096558474
L1_to_L2,00010001,2,152,0.02479204045017126
L1_to_L2,00000011,2,151,0.024628934920893818
L1_to_L2,01010000,2,146,0.023813407274506607
L1_to_L2,00100010,2,142,0.023160985157396837
L1_to_L2,10001000,2,140,0.02283477409884195
L1_to_L2,11000000,2,138,0.022508563040287064
L1_to_L2,00110000,2,125,0.020388191159680314
L1_to_L2,00001111,4,125,0.020388191159680314
L1_to_L2,00001100,2,119,0.019409557984015658
L1_to_L2,10101010,4,112,0.01826781927907356
L1_to_L2,11001100,4,98,0.015984341869189365
L1_to_L2,00000101,2,96,0.01565813081063448
L1_to_L2,10100000,2,89,0.014516392105692383
L1_to_L2,01000100,2,78,0.012722231283640516
L1_to_L2,00001010,2,74,0.012069809166530745
L1_to_L2,11100000,3,60,0.00978633175664655
L1_to_L2,00010101,3,48,0.00782906540531724
L1_to_L2,00101010,3,46,0.007502854346762356
L1_to_L2,10110000,3,44,0.00717664328820747
L1_to_L2,01010001,3,44,0.00717664328820747
L1_to_L2,00001101,3,43,0.007013537758930028
L1_to_L2,11010000,3,41,0.006687326700375143
L1_to_L2,00001011,3,41,0.006687326700375143
L1_to_L2,10101011,5,39,0.006361115641820258
L1_to_L2,10001010,3,39,0.006361115641820258
L1_to_L2,01000101,3,39,0.006361115641820258
L1_to_L2,01110000,3,36,0.00587179905398793
L1_to_L2,00010011,3,34,0.005545587995433045
L1_to_L2,01010100,3,32,0.0052193769368781605
L1_to_L2,00110010,3,28,0.00456695481976839
L1_to_L2,10111011,6,25,0.004077638231936063
L1_to_L2,00001001,2,24,0.00391453270265862
L1_to_L2,11000100,3,24,0.00391453270265862
L1_to_L2,10100010,3,23,0.003751427173381178
L1_to_L2,01100000,2,22,0.003588321644103735
L1_to_L2,01000001,2,22,0.003588321644103735
L1_to_L2,11001000,3,22,0.003588321644103735
L1_to_L2,10010000,2,21,0.0034252161148262926
L1_to_L2,00001110,3,21,0.0034252161148262926
L1_to_L2,00010100,2,21,0.0034252161148262926
L1_to_L2,00100011,3,18,0.002935899526993965
L1_to_L2,10000010,2,17,0.0027727939977165226
L1_to_L2,10001111,5,17,0.0027727939977165226
L1_to_L2,00111111,6,16,0.0026096884684390803
L1_to_L2,10101000,3,16,0.0026096884684390803
L1_to_L2,01110111,6,15,0.0024465829391616374
L1_to_L2,11101010,5,14,0.002283477409884195
L1_to_L2,11101011,6,14,0.002283477409884195
L1_to_L2,10111010,5,13,0.0021203718806067527
L1_to_L2,01011111,6,13,0.0021203718806067527
L1_to_L2,11001111,6,12,0.00195726635132931
L1_to_L2,11011100,5,12,0.00195726635132931
L1_to_L2,00000111,3,11,0.0017941608220518675
L1_to_L2,11110011,6,11,0.0017941608220518675
L1_to_L2,10111000,4,11,0.0017941608220518675
L1_to_L2,11100010,4,11,0.0017941608220518675
L1_to_L2,10101111,6,11,0.0017941608220518675
L1_to_L2,11110111,7,11,0.0017941608220518675
L1_to_L2,00010010,2,10,0.001631055292774425
L1_to_L2,00101000,2,10,0.001631055292774425
L1_to_L2,11011010,5,10,0.001631055292774425
L1_to_L2,01001101,4,10,0.001631055292774425
L1_to_L2,10101100,4,9,0.0014679497634969825
L1_to_L2,01001000,2,9,0.0014679497634969825
L1_to_L2,10001101,4,9,0.0014679497634969825
L1_to_L2,01010111,5,9,0.0014679497634969825
L1_to_L2,00000110,2,8,0.0013048442342195401
L1_to_L2,11000010,3,8,0.0013048442342195401
L1_to_L2,10110111,6,8,0.0013048442342195401
L1_to_L2,01110001,4,8,0.0013048442342195401
L1_to_L2,10101001,4,7,0.0011417387049420975
L1_to_L2,10001100,3,7,0.0011417387049420975
L1_to_L2,01110011,5,7,0.0011417387049420975
L1_to_L2,11011111,7,7,0.0011417387049420975
L1_to_L2,10111100,5,7,0.0011417387049420975
L1_to_L2,10000100,2,6,0.000978633175664655
L1_to_L2,10000001,2,6,0.000978633175664655
L1_to_L2,11111111,8,6,0.000978633175664655
L1_to_L2,00110001,3,6,0.000978633175664655
L1_to_L2,00101111,5,6,0.000978633175664655
L1_to_L2,00111011,5,6,0.000978633175664655
L1_to_L2,10011000,3,6,0.000978633175664655
L1_to_L2,00011000,2,6,0.000978633175664655
L1_to_L2,11110100,5,6,0.000978633175664655
L1_to_L2,01111110,6,6,0.000978633175664655
L1_to_L2,00111110,5,5,0.0008155276463872126
L1_to_L2,00100100,2,5,0.0008155276463872126
L1_to_L2,10000101,3,5,0.0008155276463872126
L1_to_L2,11010011,5,5,0.0008155276463872126
L1_to_L2,00011111,5,5,0.0008155276463872126
L1_to_L2,00111010,4,5,0.0008155276463872126
L1_to_L2,01010010,3,5,0.0008155276463872126
L1_to_L2,01011101,5,5,0.0008155276463872126
L1_to_L2,01110101,5,5,0.0008155276463872126
L1_to_L2,01100110,4,5,0.0008155276463872126
L1_to_L2,01000011,3,5,0.0008155276463872126
L1_to_L2,11111010,6,5,0.0008155276463872126
L1_to_L2,11100001,4,5,0.0008155276463872126
L1_to_L2,00111001,4,5,0.0008155276463872126
L1_to_L2,00011011,4,4,0.0006524221171097701
L1_to_L2,11110110,6,4,0.0006524221171097701
L1_to_L2,11000101,4,4,0.0006524221171097701
L1_to_L2,11111110,7,4,0.0006524221171097701
L1_to_L2,01111111,7,4,0.0006524221171097701
L1_to_L2,11011101,6,4,0.0006524221171097701
L1_to_L2,00101011,4,4,0.0006524221171097701
L1_to_L2,11100101,5,4,0.0006524221171097701
L1_to_L2,01110010,4,4,0.0006524221171097701
L1_to_L2,00100001,2,4,0.0006524221171097701
L1_to_L2,10110100,4,4,0.0006524221171097701
L1_to_L2,11111100,6,4,0.0006524221171097701
L1_to_L2,10111111,7,4,0.0006524221171097701
L1_to_L2,00011010,3,3,0.0004893165878323275
L1_to_L2,01101110,5,3,0.0004893165878323275
L1_to_L2,01001100,3,3,0.0004893165878323275
L1_to_L2,00011001,3,3,0.0004893165878323275
L1_to_L2,01101010,4,3,0.0004893165878323275
L1_to_L2,00011110,4,2,0.00032621105855488503
L1_to_L2,10001011,4,2,0.00032621105855488503
L1_to_L2,01011010,4,2,0.00032621105855488503
L1_to_L2,01011100,4,2,0.00032621105855488503
L1_to_L2,10001001,3,2,0.00032621105855488503
L1_to_L2,11000110,4,2,0.00032621105855488503
L1_to_L2,01001011,4,2,0.00032621105855488503
L1_to_L2,10111110,6,2,0.00032621105855488503
L1_to_L2,10011010,4,2,0.00032621105855488503
L1_to_L2,11001110,5,2,0.00032621105855488503
L1_to_L2,01100010,3,2,0.00032621105855488503
L1_to_L2,11101100,5,2,0.00032621105855488503
L1_to_L2,01011000,3,2,0.00032621105855488503
L1_to_L2,11111011,7,2,0.00032621105855488503
L1_to_L2,11001011,5,2,0.00032621105855488503
L1_to_L2,10110011,5,2,0.00032621105855488503
L1_to_L2,11101110,6,2,0.00032621105855488503
L1_to_L2,01111001,5,2,0.00032621105855488503
L1_to_L2,11111000,5,2,0.00032621105855488503
L1_to_L2,10110001,4,2,0.00032621105855488503
L1_to_L2,11000001,3,2,0.00032621105855488503
L1_to_L2,10100001,3,1,0.00016310552927744252
L1_to_L2,10000011,3,1,0.00016310552927744252
L1_to_L2,00110111,5,1,0.00016310552927744252
L1_to_L2,01110100,4,1,0.00016310552927744252
L1_to_L2,01101000,3,1,0.00016310552927744252
L1_to_L2,11011000,4,1,0.00016310552927744252
L1_to_L2,01000111,4,1,0.00016310552927744252
L1_to_L2,11110101,6,1,0.00016310552927744252
L1_to_L2,10010010,3,1,0.00016310552927744252
L1_to_L2,11010100,4,1,0.00016310552927744252
L1_to_L2,00110100,3,1,0.00016310552927744252
L1_to_L2,00100110,3,1,0.00016310552927744252
L1_to_L2,00101110,4,1,0.00016310552927744252
L1_to_L2,10000110,3,1,0.00016310552927744252
L1_to_L2,11110010,5,1,0.00016310552927744252
L1_to_L2,01010110,4,1,0.00016310552927744252
L1_to_L2,01101111,6,1,0.00016310552927744252
L1_to_L2,10110110,5,1,0.00016310552927744252
L1_to_L2,00111100,4,1,0.00016310552927744252
