source,sample_id,sequence_id,query_time,target_timestamp,target_valid,query_equals_target,event_count,oldest_event,newest_event,delta_t_max
val,seq0007_valref_000618,seq0007,1706257653.6058068,1706257653.6058068,True,True,18,1706257652.800173,1706257653.601568,-0.005446910858154297
val,seq0007_valref_000670,seq0007,1706257656.2560773,1706257656.2560773,True,True,20,1706257655.300279,1706257656.200595,-0.05580329895019531
val,seq0008_valref_000722,seq0008,1706257658.8572428,1706257658.8572428,True,True,20,1706257657.900325,1706257658.800541,-0.05690884590148926
val,seq0008_valref_000773,seq0008,1706257661.4039576,1706257661.4039576,True,True,20,1706257660.500315,1706257661.400454,-0.003645658493041992
val,seq0009_valref_000825,seq0009,1706258171.7720094,1706258171.7720094,True,True,20,1706258170.798158,1706258171.700754,-0.07125544548034668
val,seq0009_valref_000876,seq0009,1706258174.4084847,1706258174.4084847,True,True,20,1706258173.497264,1706258174.400646,-0.007838726043701172
val,seq0010_valref_000928,seq0010,1706258273.7739968,1706258273.7739968,True,True,20,1706258272.797285,1706258273.700189,-0.0738077163696289
val,seq0010_valref_000980,seq0010,1706258276.3760843,1706258276.3760843,True,True,20,1706258275.397207,1706258276.300266,-0.07581830024719238
val,seq0011_valref_001031,seq0011,1706258279.025218,1706258279.025218,True,True,20,1706258278.0972,1706258279.000244,-0.02497410774230957
val,seq0011_valref_001083,seq0011,1706258281.6230295,1706258281.6230295,True,True,20,1706258280.697104,1706258281.600223,-0.022806406021118164
val,seq0012_valref_001134,seq0012,1706258284.2624562,1706258284.2624562,True,True,20,1706258283.297171,1706258284.200116,-0.06234025955200195
val,seq0012_valref_001186,seq0012,1706258286.876083,1706258286.876083,True,True,20,1706258285.897102,1706258286.800162,-0.07592082023620605
val,seq0013_valref_001237,seq0013,1706258739.3598735,1706258739.3598735,True,True,20,1706258738.394457,1706258739.299833,-0.06004047393798828
val,seq0013_valref_001289,seq0013,1706258742.009457,1706258742.009457,True,True,20,1706258741.09433,1706258742.001002,-0.008455038070678711
val,seq0014_valref_001341,seq0014,1706258744.6581678,1706258744.6581678,True,True,20,1706258743.694384,1706258744.601011,-0.05715680122375488
val,seq0014_valref_001392,seq0014,1706258747.3125749,1706258747.3125749,True,True,20,1706258746.394385,1706258747.299914,-0.012660980224609375
val,seq0015_valref_001444,seq0015,1706258750.0615063,1706258750.0615063,True,True,20,1706258749.094269,1706258750.001019,-0.06048727035522461
val,seq0015_valref_001495,seq0015,1706258752.7103822,1706258752.7103822,True,True,20,1706258751.794265,1706258752.699911,-0.010471105575561523
val,seq0016_valref_001547,seq0016,1706256061.5068698,1706256061.5068698,True,True,20,1706256060.400903,1706256061.411395,-0.0954747200012207
val,seq0016_valref_001599,seq0016,1706256064.2087624,1706256064.2087624,True,True,20,1706256062.910376,1706256064.111421,-0.09734129905700684
