subset_order,manifest_index,sample_id,class_name
76,1063,Avata_000888,Avata
77,131,Mavic2_000642,Mavic2
78,1386,M300_000580,M300
79,1689,Pham4_000706,Pham4
80,40,Mavic2_000234,Mavic2
81,1017,Avata_000841,Avata
82,1038,Avata_000862,Avata
83,196,Mavic2_000707,Mavic2
84,1794,Pham4_000811,Pham4
85,1662,Pham4_000679,Pham4
86,187,Mavic2_000698,Mavic2
87,1167,Avata_001130,Avata
88,543,Mavic3_000516,Mavic3
89,307,Mavic2_000936,Mavic2
90,663,Mavic3_000716,Mavic3
91,417,Mavic3_000153,Mavic3
92,1381,M300_000575,M300
93,15,Mavic2_000209,Mavic2
94,593,Mavic3_000566,Mavic3
95,1190,Avata_001153,Avata
96,1013,Avata_000837,Avata
97,725,Avata_000282,Avata
98,249,Mavic2_000877,Mavic2
99,1127,Avata_001090,Avata
100,1250,Avata_001213,Avata
101,760,Avata_000318,Avata
102,1029,Avata_000853,Avata
103,228,Mavic2_000856,Mavic2
104,501,Mavic3_000412,Mavic3
105,703,Mavic3_000756,Mavic3
106,1723,Pham4_000740,Pham4
107,503,Mavic3_000414,Mavic3
108,953,Avata_000776,Avata
109,895,Avata_000718,Avata
110,181,Mavic2_000692,Mavic2
111,388,Mavic3_000124,Mavic3
112,811,Avata_000370,Avata
113,1339,M300_000207,M300
114,1560,Pham4_000120,Pham4
115,666,Mavic3_000719,Mavic3
116,1180,Avata_001143,Avata
117,984,Avata_000808,Avata
118,1189,Avata_001152,Avata
119,554,Mavic3_000527,Mavic3
120,1567,Pham4_000127,Pham4
121,782,Avata_000340,Avata
122,205,Mavic2_000716,Mavic2
123,734,Avata_000291,Avata
124,224,Mavic2_000735,Mavic2
125,1646,Pham4_000436,Pham4
126,1471,M300_000665,M300
127,1683,Pham4_000700,Pham4
128,767,Avata_000325,Avata
129,425,Mavic3_000161,Mavic3
130,497,Mavic3_000408,Mavic3
131,492,Mavic3_000403,Mavic3
132,1676,Pham4_000693,Pham4
133,1193,Avata_001156,Avata
134,280,Mavic2_000909,Mavic2
135,598,Mavic3_000571,Mavic3
136,324,Mavic2_001058,Mavic2
137,1611,Pham4_000401,Pham4
138,498,Mavic3_000409,Mavic3
139,1694,Pham4_000711,Pham4
140,1475,M300_000669,M300
141,1509,M300_000779,M300
142,693,Mavic3_000746,Mavic3
143,722,Avata_000279,Avata
144,1707,Pham4_000724,Pham4
145,654,Mavic3_000707,Mavic3
146,494,Mavic3_000405,Mavic3
147,1482,M300_000676,M300
148,1316,M300_000184,M300
149,1564,Pham4_000124,Pham4
150,1328,M300_000196,M300
151,1470,M300_000664,M300
152,568,Mavic3_000541,Mavic3
153,301,Mavic2_000930,Mavic2
154,1336,M300_000204,M300
155,1326,M300_000194,M300
156,1058,Avata_000882,Avata
157,1379,M300_000573,M300
158,638,Mavic3_000611,Mavic3
159,74,Mavic2_000296,Mavic2
160,1230,Avata_001193,Avata
161,1343,M300_000211,M300
162,126,Mavic2_000637,Mavic2
163,1750,Pham4_000767,Pham4
164,581,Mavic3_000554,Mavic3
165,337,Mavic2_001071,Mavic2
166,102,Mavic2_000368,Mavic2
167,934,Avata_000757,Avata
168,1490,M300_000684,M300
169,1749,Pham4_000766,Pham4
170,787,Avata_000345,Avata
171,335,Mavic2_001069,Mavic2
172,167,Mavic2_000678,Mavic2
173,704,Mavic3_000757,Mavic3
174,691,Mavic3_000744,Mavic3
175,1619,Pham4_000409,Pham4
176,442,Mavic3_000353,Mavic3
177,1236,Avata_001199,Avata
178,826,Avata_000649,Avata
179,398,Mavic3_000134,Mavic3
180,1592,Pham4_000382,Pham4
181,195,Mavic2_000706,Mavic2
182,833,Avata_000656,Avata
183,313,Mavic2_001047,Mavic2
184,1712,Pham4_000729,Pham4
185,1122,Avata_001085,Avata
186,1235,Avata_001198,Avata
187,13,Mavic2_000207,Mavic2
188,954,Avata_000777,Avata
189,200,Mavic2_000711,Mavic2
190,1234,Avata_001197,Avata
191,1637,Pham4_000427,Pham4
192,31,Mavic2_000225,Mavic2
193,473,Mavic3_000384,Mavic3
194,402,Mavic3_000138,Mavic3
195,1686,Pham4_000703,Pham4
196,237,Mavic2_000865,Mavic2
197,1239,Avata_001202,Avata
198,914,Avata_000737,Avata
199,459,Mavic3_000370,Mavic3
200,278,Mavic2_000907,Mavic2
201,1399,M300_000593,M300
202,812,Avata_000371,Avata
203,1021,Avata_000845,Avata
204,735,Avata_000292,Avata
205,1708,Pham4_000725,Pham4
206,827,Avata_000650,Avata
207,1322,M300_000190,M300
208,697,Mavic3_000750,Mavic3
209,1370,M300_000564,M300
210,392,Mavic3_000128,Mavic3
211,260,Mavic2_000888,Mavic2
212,544,Mavic3_000517,Mavic3
213,1060,Avata_000884,Avata
214,1212,Avata_001175,Avata
215,520,Mavic3_000431,Mavic3
216,791,Avata_000350,Avata
217,1496,M300_000766,M300
218,1655,Pham4_000672,Pham4
219,634,Mavic3_000607,Mavic3
220,230,Mavic2_000858,Mavic2
221,136,Mavic2_000647,Mavic2
222,623,Mavic3_000596,Mavic3
223,1774,Pham4_000791,Pham4
224,1161,Avata_001124,Avata
225,273,Mavic2_000902,Mavic2
226,884,Avata_000707,Avata
227,1759,Pham4_000776,Pham4
228,668,Mavic3_000721,Mavic3
229,378,Mavic3_000114,Mavic3
230,1827,Pham4_000844,Pham4
231,1488,M300_000682,M300
232,1327,M300_000195,M300
233,1417,M300_000611,M300
234,763,Avata_000321,Avata
235,841,Avata_000664,Avata
236,233,Mavic2_000861,Mavic2
237,1715,Pham4_000732,Pham4
238,71,Mavic2_000293,Mavic2
239,626,Mavic3_000599,Mavic3
240,929,Avata_000752,Avata
241,163,Mavic2_000674,Mavic2
242,325,Mavic2_001059,Mavic2
243,434,Mavic3_000170,Mavic3
244,1242,Avata_001205,Avata
245,1400,M300_000594,M300
246,1276,Avata_001363,Avata
247,182,Mavic2_000693,Mavic2
248,1580,Pham4_000140,Pham4
249,1739,Pham4_000756,Pham4
250,309,Mavic2_000938,Mavic2
251,642,Mavic3_000615,Mavic3
252,1647,Pham4_000437,Pham4
253,70,Mavic2_000292,Mavic2
254,1804,Pham4_000821,Pham4
255,361,Mavic3_000097,Mavic3
256,862,Avata_000685,Avata
257,1387,M300_000581,M300
258,1529,Pham4_000089,Pham4
259,1602,Pham4_000392,Pham4
260,332,Mavic2_001066,Mavic2
261,247,Mavic2_000875,Mavic2
262,1466,M300_000660,M300
263,530,Mavic3_000441,Mavic3
264,918,Avata_000741,Avata
265,210,Mavic2_000721,Mavic2
266,1177,Avata_001140,Avata
267,1743,Pham4_000760,Pham4
268,229,Mavic2_000857,Mavic2
269,960,Avata_000783,Avata
270,1025,Avata_000849,Avata
271,1348,M300_000216,M300
272,144,Mavic2_000655,Mavic2
273,730,Avata_000287,Avata
274,1504,M300_000774,M300
275,180,Mavic2_000691,Mavic2
276,1492,M300_000762,M300
277,89,Mavic2_000311,Mavic2
278,750,Avata_000308,Avata
279,712,Avata_000269,Avata
280,1367,M300_000561,M300
281,1818,Pham4_000835,Pham4
282,935,Avata_000758,Avata
283,383,Mavic3_000119,Mavic3
284,901,Avata_000724,Avata
285,1136,Avata_001099,Avata
286,77,Mavic2_000299,Mavic2
287,1086,Avata_001049,Avata
288,1800,Pham4_000817,Pham4
289,670,Mavic3_000723,Mavic3
290,688,Mavic3_000741,Mavic3
291,973,Avata_000796,Avata
292,916,Avata_000739,Avata
293,854,Avata_000677,Avata
294,297,Mavic2_000926,Mavic2
295,314,Mavic2_001048,Mavic2
296,1629,Pham4_000419,Pham4
297,869,Avata_000692,Avata
298,1032,Avata_000856,Avata
299,1152,Avata_001115,Avata
300,780,Avata_000338,Avata
301,890,Avata_000713,Avata
302,706,Avata_000263,Avata
303,1505,M300_000775,M300
304,1245,Avata_001208,Avata
305,1725,Pham4_000742,Pham4
306,545,Mavic3_000518,Mavic3
307,1108,Avata_001071,Avata
308,1507,M300_000777,M300
309,785,Avata_000343,Avata
310,68,Mavic2_000290,Mavic2
311,888,Avata_000711,Avata
312,162,Mavic2_000673,Mavic2
313,463,Mavic3_000374,Mavic3
314,1420,M300_000614,M300
315,1197,Avata_001160,Avata
316,454,Mavic3_000365,Mavic3
317,1184,Avata_001147,Avata
318,1214,Avata_001177,Avata
319,1493,M300_000763,M300
320,427,Mavic3_000163,Mavic3
321,615,Mavic3_000588,Mavic3
322,1023,Avata_000847,Avata
323,1577,Pham4_000137,Pham4
324,1033,Avata_000857,Avata
325,729,Avata_000286,Avata
326,462,Mavic3_000373,Mavic3
327,908,Avata_000731,Avata
328,1427,M300_000621,M300
329,1455,M300_000649,M300
330,1074,Avata_001037,Avata
331,499,Mavic3_000410,Mavic3
332,527,Mavic3_000438,Mavic3
333,469,Mavic3_000380,Mavic3
334,949,Avata_000772,Avata
335,1781,Pham4_000798,Pham4
336,1752,Pham4_000769,Pham4
337,571,Mavic3_000544,Mavic3
338,1363,M300_000557,M300
339,1558,Pham4_000118,Pham4
340,1310,M300_000178,M300
341,1643,Pham4_000433,Pham4
342,1222,Avata_001185,Avata
343,12,Mavic2_000206,Mavic2
344,1698,Pham4_000715,Pham4
345,1578,Pham4_000138,Pham4
346,1572,Pham4_000132,Pham4
347,651,Mavic3_000704,Mavic3
348,1291,M300_000159,M300
349,1144,Avata_001107,Avata
350,1761,Pham4_000778,Pham4
351,1757,Pham4_000774,Pham4
352,1240,Avata_001203,Avata
353,1826,Pham4_000843,Pham4
354,809,Avata_000368,Avata
355,290,Mavic2_000919,Mavic2
356,1717,Pham4_000734,Pham4
357,148,Mavic2_000659,Mavic2
358,824,Avata_000646,Avata
359,522,Mavic3_000433,Mavic3
360,431,Mavic3_000167,Mavic3
361,288,Mavic2_000917,Mavic2
362,1072,Avata_001035,Avata
363,489,Mavic3_000400,Mavic3
364,1730,Pham4_000747,Pham4
365,350,Mavic3_000086,Mavic3
366,1485,M300_000679,M300
367,1300,M300_000168,M300
368,1758,Pham4_000775,Pham4
369,147,Mavic2_000658,Mavic2
370,1677,Pham4_000694,Pham4
371,1612,Pham4_000402,Pham4
372,1645,Pham4_000435,Pham4
373,1634,Pham4_000424,Pham4
374,986,Avata_000810,Avata
375,1667,Pham4_000684,Pham4
376,1331,M300_000199,M300
377,1356,M300_000224,M300
378,1377,M300_000571,M300
379,721,Avata_000278,Avata
380,1267,Avata_001281,Avata
381,1307,M300_000175,M300
382,797,Avata_000356,Avata
383,698,Mavic3_000751,Mavic3
384,540,Mavic3_000513,Mavic3
385,868,Avata_000691,Avata
386,1342,M300_000210,M300
387,807,Avata_000366,Avata
388,1452,M300_000646,M300
389,709,Avata_000266,Avata
390,1444,M300_000638,M300
391,1178,Avata_001141,Avata
392,1071,Avata_001034,Avata
393,456,Mavic3_000367,Mavic3
394,542,Mavic3_000515,Mavic3
395,435,Mavic3_000171,Mavic3
396,1179,Avata_001142,Avata
397,1090,Avata_001053,Avata
398,381,Mavic3_000117,Mavic3
399,1808,Pham4_000825,Pham4
400,32,Mavic2_000226,Mavic2
401,135,Mavic2_000646,Mavic2
402,243,Mavic2_000871,Mavic2
403,740,Avata_000297,Avata
404,23,Mavic2_000217,Mavic2
405,193,Mavic2_000704,Mavic2
406,1591,Pham4_000381,Pham4
407,1176,Avata_001139,Avata
408,987,Avata_000811,Avata
409,1762,Pham4_000779,Pham4
410,1628,Pham4_000418,Pham4
411,1347,M300_000215,M300
412,889,Avata_000712,Avata
413,1635,Pham4_000425,Pham4
414,37,Mavic2_000231,Mavic2
415,123,Mavic2_000634,Mavic2
416,620,Mavic3_000593,Mavic3
417,1789,Pham4_000806,Pham4
418,1231,Avata_001194,Avata
419,1419,M300_000613,M300
420,629,Mavic3_000602,Mavic3
421,1000,Avata_000824,Avata
422,909,Avata_000732,Avata
423,458,Mavic3_000369,Mavic3
424,1055,Avata_000879,Avata
425,1407,M300_000601,M300
426,1100,Avata_001063,Avata
427,690,Mavic3_000743,Mavic3
428,1092,Avata_001055,Avata
429,137,Mavic2_000648,Mavic2
430,450,Mavic3_000361,Mavic3
431,1299,M300_000167,M300
432,177,Mavic2_000688,Mavic2
433,1332,M300_000200,M300
434,1221,Avata_001184,Avata
435,38,Mavic2_000232,Mavic2
436,1251,Avata_001214,Avata
437,1534,Pham4_000094,Pham4
438,786,Avata_000344,Avata
439,846,Avata_000669,Avata
440,1768,Pham4_000785,Pham4
441,861,Avata_000684,Avata
442,708,Avata_000265,Avata
443,1137,Avata_001100,Avata
444,1703,Pham4_000720,Pham4
445,99,Mavic2_000321,Mavic2
446,110,Mavic2_000621,Mavic2
447,1624,Pham4_000414,Pham4
448,518,Mavic3_000429,Mavic3
449,978,Avata_000802,Avata
450,1701,Pham4_000718,Pham4
451,1621,Pham4_000411,Pham4
452,713,Avata_000270,Avata
453,508,Mavic3_000419,Mavic3
454,1350,M300_000218,M300
455,1289,M300_000157,M300
456,1229,Avata_001192,Avata
457,715,Avata_000272,Avata
458,1238,Avata_001201,Avata
459,1259,Avata_001222,Avata
460,957,Avata_000780,Avata
461,1541,Pham4_000101,Pham4
462,1705,Pham4_000722,Pham4
463,202,Mavic2_000713,Mavic2
464,1403,M300_000597,M300
465,156,Mavic2_000667,Mavic2
466,1141,Avata_001104,Avata
467,1040,Avata_000864,Avata
468,1672,Pham4_000689,Pham4
469,1506,M300_000776,M300
470,910,Avata_000733,Avata
471,1785,Pham4_000802,Pham4
472,1514,M300_000784,M300
473,1499,M300_000769,M300
474,1358,M300_000226,M300
475,742,Avata_000299,Avata
476,1484,M300_000678,M300
477,1656,Pham4_000673,Pham4
478,538,Mavic3_000511,Mavic3
479,1093,Avata_001056,Avata
480,491,Mavic3_000402,Mavic3
481,183,Mavic2_000694,Mavic2
482,1796,Pham4_000813,Pham4
483,1317,M300_000185,M300
484,1432,M300_000626,M300
485,1746,Pham4_000763,Pham4
486,311,Mavic2_001045,Mavic2
487,1394,M300_000588,M300
488,1188,Avata_001151,Avata
489,1503,M300_000773,M300
490,1535,Pham4_000095,Pham4
491,1084,Avata_001047,Avata
492,1340,M300_000208,M300
493,1335,M300_000203,M300
494,353,Mavic3_000089,Mavic3
495,164,Mavic2_000675,Mavic2
496,946,Avata_000769,Avata
497,533,Mavic3_000506,Mavic3
498,950,Avata_000773,Avata
499,1372,M300_000566,M300
500,185,Mavic2_000696,Mavic2
501,1531,Pham4_000091,Pham4
502,72,Mavic2_000294,Mavic2
503,128,Mavic2_000639,Mavic2
504,966,Avata_000789,Avata
505,1469,M300_000663,M300
506,631,Mavic3_000604,Mavic3
507,1103,Avata_001066,Avata
508,851,Avata_000674,Avata
509,355,Mavic3_000091,Mavic3
510,1270,Avata_001284,Avata
511,1663,Pham4_000680,Pham4
