split,clip_index,sequence_ids,sample_ids,query_times,query_count,selected_event_count
train,2799,"[""seq0008"", ""seq0008"", ""seq0008"", ""seq0008"", ""seq0008"", ""seq0008"", ""seq0008"", ""seq0008""]","[""seq0008_g000392"", ""seq0008_g000393"", ""seq0008_g000394"", ""seq0008_g000395"", ""seq0008_g000396"", ""seq0008_g000397"", ""seq0008_g000398"", ""seq0008_g000399""]","[1706255287.3119895, 1706255287.3529146, 1706255287.405544, 1706255287.4529634, 1706255287.505071, 1706255287.5518448, 1706255287.6052449, 1706255287.6504602]",8,160
train,2800,"[""seq0010""]","[""seq0010_g000000""]",[1706255309.2113876],1,0
train,3199,"[""seq0010"", ""seq0010"", ""seq0010"", ""seq0010"", ""seq0010"", ""seq0010"", ""seq0010"", ""seq0010""]","[""seq0010_g000392"", ""seq0010_g000393"", ""seq0010_g000394"", ""seq0010_g000395"", ""seq0010_g000396"", ""seq0010_g000397"", ""seq0010_g000398"", ""seq0010_g000399""]","[1706255329.6502445, 1706255329.7075472, 1706255329.7526336, 1706255329.8106325, 1706255329.8527808, 1706255329.9037437, 1706255329.951994, 1706255330.005916]",8,160
train,3200,"[""seq0011""]","[""seq0011_g000000""]",[1706255330.0534513],1,0
train,3599,"[""seq0011"", ""seq0011"", ""seq0011"", ""seq0011"", ""seq0011"", ""seq0011"", ""seq0011"", ""seq0011""]","[""seq0011_g000392"", ""seq0011_g000393"", ""seq0011_g000394"", ""seq0011_g000395"", ""seq0011_g000396"", ""seq0011_g000397"", ""seq0011_g000398"", ""seq0011_g000399""]","[1706255350.4205706, 1706255350.5054107, 1706255350.5536635, 1706255350.6077795, 1706255350.6516345, 1706255350.7046435, 1706255350.7530167, 1706255350.80687]",8,160
train,3600,"[""seq0016""]","[""seq0016_g000000""]",[1706255434.8067014],1,0
train,3999,"[""seq0016"", ""seq0016"", ""seq0016"", ""seq0016"", ""seq0016"", ""seq0016"", ""seq0016"", ""seq0016""]","[""seq0016_g000392"", ""seq0016_g000393"", ""seq0016_g000394"", ""seq0016_g000395"", ""seq0016_g000396"", ""seq0016_g000397"", ""seq0016_g000398"", ""seq0016_g000399""]","[1706255454.956131, 1706255455.007455, 1706255455.0553398, 1706255455.1072528, 1706255455.1558828, 1706255455.2062721, 1706255455.2536862, 1706255455.3116055]",8,160
train,4000,"[""seq0017""]","[""seq0017_g000000""]",[1706255455.3569574],1,0
train,4399,"[""seq0017"", ""seq0017"", ""seq0017"", ""seq0017"", ""seq0017"", ""seq0017"", ""seq0017"", ""seq0017""]","[""seq0017_g000392"", ""seq0017_g000393"", ""seq0017_g000394"", ""seq0017_g000395"", ""seq0017_g000396"", ""seq0017_g000397"", ""seq0017_g000398"", ""seq0017_g000399""]","[1706255475.8632133, 1706255475.908403, 1706255475.9544177, 1706255476.0088897, 1706255476.0540097, 1706255476.1083694, 1706255476.1577628, 1706255476.2247367]",8,160
train,4400,"[""seq0018""]","[""seq0018_g000000""]",[1706255476.3308504],1,0
train,4799,"[""seq0018"", ""seq0018"", ""seq0018"", ""seq0018"", ""seq0018"", ""seq0018"", ""seq0018"", ""seq0018""]","[""seq0018_g000392"", ""seq0018_g000393"", ""seq0018_g000394"", ""seq0018_g000395"", ""seq0018_g000396"", ""seq0018_g000397"", ""seq0018_g000398"", ""seq0018_g000399""]","[1706255496.7094147, 1706255496.757839, 1706255496.8103757, 1706255496.858616, 1706255496.912972, 1706255496.9561949, 1706255497.0081553, 1706255497.0565696]",8,160
train,4800,"[""seq0019""]","[""seq0019_g000000""]",[1706255497.111298],1,0
train,5199,"[""seq0019"", ""seq0019"", ""seq0019"", ""seq0019"", ""seq0019"", ""seq0019"", ""seq0019"", ""seq0019""]","[""seq0019_g000392"", ""seq0019_g000393"", ""seq0019_g000394"", ""seq0019_g000395"", ""seq0019_g000396"", ""seq0019_g000397"", ""seq0019_g000398"", ""seq0019_g000399""]","[1706255517.2572198, 1706255517.3105183, 1706255517.3587048, 1706255517.409099, 1706255517.457917, 1706255517.5197923, 1706255517.5606823, 1706255517.6126316]",8,160
train,5200,"[""seq0021""]","[""seq0021_g000000""]",[1706255538.41791],1,0
train,5599,"[""seq0021"", ""seq0021"", ""seq0021"", ""seq0021"", ""seq0021"", ""seq0021"", ""seq0021"", ""seq0021""]","[""seq0021_g000392"", ""seq0021_g000393"", ""seq0021_g000394"", ""seq0021_g000395"", ""seq0021_g000396"", ""seq0021_g000397"", ""seq0021_g000398"", ""seq0021_g000399""]","[1706255559.1339314, 1706255559.1759524, 1706255559.2158988, 1706255559.2624426, 1706255559.3598366, 1706255559.4112241, 1706255559.4611933, 1706255559.5148604]",8,160
train,5600,"[""seq0022""]","[""seq0022_g000000""]",[1706255559.5578873],1,0
train,5999,"[""seq0022"", ""seq0022"", ""seq0022"", ""seq0022"", ""seq0022"", ""seq0022"", ""seq0022"", ""seq0022""]","[""seq0022_g000392"", ""seq0022_g000393"", ""seq0022_g000394"", ""seq0022_g000395"", ""seq0022_g000396"", ""seq0022_g000397"", ""seq0022_g000398"", ""seq0022_g000399""]","[1706255580.2272806, 1706255580.2586129, 1706255580.3369749, 1706255580.3819253, 1706255580.4240787, 1706255580.464711, 1706255580.5141516, 1706255580.5580835]",8,160
train,6000,"[""seq0024""]","[""seq0024_g000000""]",[1706255601.0654955],1,0
train,6399,"[""seq0024"", ""seq0024"", ""seq0024"", ""seq0024"", ""seq0024"", ""seq0024"", ""seq0024"", ""seq0024""]","[""seq0024_g000392"", ""seq0024_g000393"", ""seq0024_g000394"", ""seq0024_g000395"", ""seq0024_g000396"", ""seq0024_g000397"", ""seq0024_g000398"", ""seq0024_g000399""]","[1706255621.165291, 1706255621.2127366, 1706255621.261521, 1706255621.3126469, 1706255621.3634481, 1706255621.4136596, 1706255621.4609885, 1706255621.5103552]",8,160
train,6400,"[""seq0025""]","[""seq0025_g000000""]",[1706254883.3108],1,0
train,6799,"[""seq0025"", ""seq0025"", ""seq0025"", ""seq0025"", ""seq0025"", ""seq0025"", ""seq0025"", ""seq0025""]","[""seq0025_g000392"", ""seq0025_g000393"", ""seq0025_g000394"", ""seq0025_g000395"", ""seq0025_g000396"", ""seq0025_g000397"", ""seq0025_g000398"", ""seq0025_g000399""]","[1706254903.7312415, 1706254903.786004, 1706254903.835997, 1706254903.938265, 1706254903.985173, 1706254904.0303566, 1706254904.082794, 1706254904.1300101]",8,160
train,6800,"[""seq0026""]","[""seq0026_g000000""]",[1706254904.183321],1,0
train,7199,"[""seq0026"", ""seq0026"", ""seq0026"", ""seq0026"", ""seq0026"", ""seq0026"", ""seq0026"", ""seq0026""]","[""seq0026_g000392"", ""seq0026_g000393"", ""seq0026_g000394"", ""seq0026_g000395"", ""seq0026_g000396"", ""seq0026_g000397"", ""seq0026_g000398"", ""seq0026_g000399""]","[1706254925.3906014, 1706254925.4336348, 1706254925.5250337, 1706254925.5781689, 1706254925.6632571, 1706254925.7138674, 1706254925.7682984, 1706254925.811406]",8,160
train,7200,"[""seq0027""]","[""seq0027_g000000""]",[1706254925.8552651],1,0
train,7599,"[""seq0027"", ""seq0027"", ""seq0027"", ""seq0027"", ""seq0027"", ""seq0027"", ""seq0027"", ""seq0027""]","[""seq0027_g000392"", ""seq0027_g000393"", ""seq0027_g000394"", ""seq0027_g000395"", ""seq0027_g000396"", ""seq0027_g000397"", ""seq0027_g000398"", ""seq0027_g000399""]","[1706254949.139225, 1706254949.1931837, 1706254949.2396162, 1706254949.290355, 1706254949.33849, 1706254949.3899796, 1706254949.439602, 1706254949.4895234]",8,160
train,7600,"[""seq0028""]","[""seq0028_g000000""]",[1706254949.5332782],1,0
train,7999,"[""seq0028"", ""seq0028"", ""seq0028"", ""seq0028"", ""seq0028"", ""seq0028"", ""seq0028"", ""seq0028""]","[""seq0028_g000392"", ""seq0028_g000393"", ""seq0028_g000394"", ""seq0028_g000395"", ""seq0028_g000396"", ""seq0028_g000397"", ""seq0028_g000398"", ""seq0028_g000399""]","[1706254970.6331906, 1706254970.6878471, 1706254970.7349112, 1706254970.7861662, 1706254970.8321457, 1706254970.88425, 1706254970.9308395, 1706254970.9859812]",8,160
train,8000,"[""seq0029""]","[""seq0029_g000000""]",[1706254971.0343235],1,0
train,8399,"[""seq0029"", ""seq0029"", ""seq0029"", ""seq0029"", ""seq0029"", ""seq0029"", ""seq0029"", ""seq0029""]","[""seq0029_g000392"", ""seq0029_g000393"", ""seq0029_g000394"", ""seq0029_g000395"", ""seq0029_g000396"", ""seq0029_g000397"", ""seq0029_g000398"", ""seq0029_g000399""]","[1706254991.2323618, 1706254991.283935, 1706254991.3308675, 1706254991.3920097, 1706254991.4370155, 1706254991.4848692, 1706254991.5315487, 1706254991.5818896]",8,160
train,8400,"[""seq0030""]","[""seq0030_g000000""]",[1706254991.6316302],1,0
train,8799,"[""seq0030"", ""seq0030"", ""seq0030"", ""seq0030"", ""seq0030"", ""seq0030"", ""seq0030"", ""seq0030""]","[""seq0030_g000392"", ""seq0030_g000393"", ""seq0030_g000394"", ""seq0030_g000395"", ""seq0030_g000396"", ""seq0030_g000397"", ""seq0030_g000398"", ""seq0030_g000399""]","[1706255012.1362367, 1706255012.186378, 1706255012.2465584, 1706255012.2885053, 1706255012.3348784, 1706255012.3866992, 1706255012.4354856, 1706255012.4887483]",8,160
train,8800,"[""seq0032""]","[""seq0032_g000000""]",[1706255033.5355082],1,0
train,9199,"[""seq0032"", ""seq0032"", ""seq0032"", ""seq0032"", ""seq0032"", ""seq0032"", ""seq0032"", ""seq0032""]","[""seq0032_g000392"", ""seq0032_g000393"", ""seq0032_g000394"", ""seq0032_g000395"", ""seq0032_g000396"", ""seq0032_g000397"", ""seq0032_g000398"", ""seq0032_g000399""]","[1706255053.93392, 1706255054.0026636, 1706255054.0459466, 1706255054.0973268, 1706255054.13502, 1706255054.1887763, 1706255054.2361188, 1706255054.3037388]",8,160
train,9200,"[""seq0033""]","[""seq0033_g000000""]",[1706257040.2000973],1,0
train,9599,"[""seq0033"", ""seq0033"", ""seq0033"", ""seq0033"", ""seq0033"", ""seq0033"", ""seq0033"", ""seq0033""]","[""seq0033_g000392"", ""seq0033_g000393"", ""seq0033_g000394"", ""seq0033_g000395"", ""seq0033_g000396"", ""seq0033_g000397"", ""seq0033_g000398"", ""seq0033_g000399""]","[1706257060.6860514, 1706257060.7322695, 1706257060.7802293, 1706257060.8311455, 1706257060.8798976, 1706257060.9317923, 1706257060.979396, 1706257061.0442183]",8,160
train,9600,"[""seq0034""]","[""seq0034_g000000""]",[1706257061.082379],1,0
train,9999,"[""seq0034"", ""seq0034"", ""seq0034"", ""seq0034"", ""seq0034"", ""seq0034"", ""seq0034"", ""seq0034""]","[""seq0034_g000392"", ""seq0034_g000393"", ""seq0034_g000394"", ""seq0034_g000395"", ""seq0034_g000396"", ""seq0034_g000397"", ""seq0034_g000398"", ""seq0034_g000399""]","[1706257081.340367, 1706257081.3881583, 1706257081.4385264, 1706257081.4860299, 1706257081.5362616, 1706257081.596164, 1706257081.6408908, 1706257081.688931]",8,160
train,10000,"[""seq0038""]","[""seq0038_g000000""]",[1706257143.5874474],1,0
train,10399,"[""seq0038"", ""seq0038"", ""seq0038"", ""seq0038"", ""seq0038"", ""seq0038"", ""seq0038"", ""seq0038""]","[""seq0038_g000392"", ""seq0038_g000393"", ""seq0038_g000394"", ""seq0038_g000395"", ""seq0038_g000396"", ""seq0038_g000397"", ""seq0038_g000398"", ""seq0038_g000399""]","[1706257164.0436456, 1706257164.087825, 1706257164.144124, 1706257164.190434, 1706257164.242223, 1706257164.293514, 1706257164.3557885, 1706257164.3991168]",8,160
train,10400,"[""seq0039""]","[""seq0039_g000000""]",[1706257164.443361],1,0
train,10799,"[""seq0039"", ""seq0039"", ""seq0039"", ""seq0039"", ""seq0039"", ""seq0039"", ""seq0039"", ""seq0039""]","[""seq0039_g000392"", ""seq0039_g000393"", ""seq0039_g000394"", ""seq0039_g000395"", ""seq0039_g000396"", ""seq0039_g000397"", ""seq0039_g000398"", ""seq0039_g000399""]","[1706257184.8893585, 1706257184.9419782, 1706257184.9889731, 1706257185.0478764, 1706257185.0896273, 1706257185.1411264, 1706257185.1905742, 1706257185.240194]",8,160
train,10800,"[""seq0040""]","[""seq0040_g000000""]",[1706257185.2873986],1,0
train,11199,"[""seq0040"", ""seq0040"", ""seq0040"", ""seq0040"", ""seq0040"", ""seq0040"", ""seq0040"", ""seq0040""]","[""seq0040_g000392"", ""seq0040_g000393"", ""seq0040_g000394"", ""seq0040_g000395"", ""seq0040_g000396"", ""seq0040_g000397"", ""seq0040_g000398"", ""seq0040_g000399""]","[1706257205.2394257, 1706257205.2906911, 1706257205.3481066, 1706257205.3929853, 1706257205.4558167, 1706257205.4882517, 1706257205.54197, 1706257205.59003]",8,160
train,11200,"[""seq0041""]","[""seq0041_g000000""]",[1706257205.6445227],1,0
train,11599,"[""seq0041"", ""seq0041"", ""seq0041"", ""seq0041"", ""seq0041"", ""seq0041"", ""seq0041"", ""seq0041""]","[""seq0041_g000392"", ""seq0041_g000393"", ""seq0041_g000394"", ""seq0041_g000395"", ""seq0041_g000396"", ""seq0041_g000397"", ""seq0041_g000398"", ""seq0041_g000399""]","[1706257225.6426384, 1706257225.6908166, 1706257225.7526863, 1706257225.7899294, 1706257225.8418648, 1706257225.8916998, 1706257225.9484103, 1706257225.9896028]",8,160
train,11600,"[""seq0043""]","[""seq0043_g000000""]",[1706257246.5939956],1,0
train,11999,"[""seq0043"", ""seq0043"", ""seq0043"", ""seq0043"", ""seq0043"", ""seq0043"", ""seq0043"", ""seq0043""]","[""seq0043_g000392"", ""seq0043_g000393"", ""seq0043_g000394"", ""seq0043_g000395"", ""seq0043_g000396"", ""seq0043_g000397"", ""seq0043_g000398"", ""seq0043_g000399""]","[1706257266.6563487, 1706257266.6937287, 1706257266.745013, 1706257266.824718, 1706257266.9029796, 1706257266.9575024, 1706257266.994021, 1706257267.0408788]",8,160
train,12000,"[""seq0044""]","[""seq0044_g000000""]",[1706257267.0904503],1,0
train,12399,"[""seq0044"", ""seq0044"", ""seq0044"", ""seq0044"", ""seq0044"", ""seq0044"", ""seq0044"", ""seq0044""]","[""seq0044_g000392"", ""seq0044_g000393"", ""seq0044_g000394"", ""seq0044_g000395"", ""seq0044_g000396"", ""seq0044_g000397"", ""seq0044_g000398"", ""seq0044_g000399""]","[1706257287.2520897, 1706257287.2963636, 1706257287.3438823, 1706257287.3943396, 1706257287.4447732, 1706257287.493285, 1706257287.5465572, 1706257287.5942779]",8,160
train,12400,"[""seq0045""]","[""seq0045_g000000""]",[1706257287.656906],1,0
train,12799,"[""seq0045"", ""seq0045"", ""seq0045"", ""seq0045"", ""seq0045"", ""seq0045"", ""seq0045"", ""seq0045""]","[""seq0045_g000392"", ""seq0045_g000393"", ""seq0045_g000394"", ""seq0045_g000395"", ""seq0045_g000396"", ""seq0045_g000397"", ""seq0045_g000398"", ""seq0045_g000399""]","[1706257307.8946009, 1706257307.9444425, 1706257307.9953454, 1706257308.0633364, 1706257308.0974798, 1706257308.144817, 1706257308.1941698, 1706257308.243283]",8,160
train,12800,"[""seq0046""]","[""seq0046_g000000""]",[1706257308.293679],1,0
train,13199,"[""seq0046"", ""seq0046"", ""seq0046"", ""seq0046"", ""seq0046"", ""seq0046"", ""seq0046"", ""seq0046""]","[""seq0046_g000392"", ""seq0046_g000393"", ""seq0046_g000394"", ""seq0046_g000395"", ""seq0046_g000396"", ""seq0046_g000397"", ""seq0046_g000398"", ""seq0046_g000399""]","[1706257328.343761, 1706257328.3945615, 1706257328.4580615, 1706257328.4944541, 1706257328.547105, 1706257328.6043618, 1706257328.6529796, 1706257328.6985202]",8,160
train,13200,"[""seq0047""]","[""seq0047_g000000""]",[1706257328.7476408],1,0
train,13599,"[""seq0047"", ""seq0047"", ""seq0047"", ""seq0047"", ""seq0047"", ""seq0047"", ""seq0047"", ""seq0047""]","[""seq0047_g000392"", ""seq0047_g000393"", ""seq0047_g000394"", ""seq0047_g000395"", ""seq0047_g000396"", ""seq0047_g000397"", ""seq0047_g000398"", ""seq0047_g000399""]","[1706257348.692639, 1706257348.7460973, 1706257348.7931657, 1706257348.845891, 1706257348.8896952, 1706257348.9385555, 1706257348.9939244, 1706257349.058071]",8,160
train,13600,"[""seq0049""]","[""seq0049_g000000""]",[1706257369.7822957],1,0
train,13999,"[""seq0049"", ""seq0049"", ""seq0049"", ""seq0049"", ""seq0049"", ""seq0049"", ""seq0049"", ""seq0049""]","[""seq0049_g000392"", ""seq0049_g000393"", ""seq0049_g000394"", ""seq0049_g000395"", ""seq0049_g000396"", ""seq0049_g000397"", ""seq0049_g000398"", ""seq0049_g000399""]","[1706257390.145696, 1706257390.2433436, 1706257390.2895558, 1706257390.3346298, 1706257390.3799825, 1706257390.5138795, 1706257390.647152, 1706257390.6985111]",8,160
train,14000,"[""seq0051""]","[""seq0051_g000000""]",[1706257411.2951488],1,0
train,14399,"[""seq0051"", ""seq0051"", ""seq0051"", ""seq0051"", ""seq0051"", ""seq0051"", ""seq0051"", ""seq0051""]","[""seq0051_g000392"", ""seq0051_g000393"", ""seq0051_g000394"", ""seq0051_g000395"", ""seq0051_g000396"", ""seq0051_g000397"", ""seq0051_g000398"", ""seq0051_g000399""]","[1706257431.297035, 1706257431.3537998, 1706257431.3992877, 1706257431.4496171, 1706257431.497306, 1706257431.5498292, 1706257431.5974593, 1706257431.65619]",8,160
train,14400,"[""seq0052""]","[""seq0052_g000000""]",[1706257484.2994843],1,0
train,14799,"[""seq0052"", ""seq0052"", ""seq0052"", ""seq0052"", ""seq0052"", ""seq0052"", ""seq0052"", ""seq0052""]","[""seq0052_g000392"", ""seq0052_g000393"", ""seq0052_g000394"", ""seq0052_g000395"", ""seq0052_g000396"", ""seq0052_g000397"", ""seq0052_g000398"", ""seq0052_g000399""]","[1706257504.3520203, 1706257504.4013557, 1706257504.4496112, 1706257504.5006435, 1706257504.5522513, 1706257504.5994284, 1706257504.651895, 1706257504.700304]",8,160
train,14800,"[""seq0053""]","[""seq0053_g000000""]",[1706257504.7519019],1,0
train,15199,"[""seq0053"", ""seq0053"", ""seq0053"", ""seq0053"", ""seq0053"", ""seq0053"", ""seq0053"", ""seq0053""]","[""seq0053_g000392"", ""seq0053_g000393"", ""seq0053_g000394"", ""seq0053_g000395"", ""seq0053_g000396"", ""seq0053_g000397"", ""seq0053_g000398"", ""seq0053_g000399""]","[1706257524.9027631, 1706257524.9533262, 1706257525.008452, 1706257525.0534053, 1706257525.099493, 1706257525.1520247, 1706257525.2017589, 1706257525.2549677]",8,160
train,15200,"[""seq0056""]","[""seq0056_g000000""]",[1706257566.0834475],1,0
train,15599,"[""seq0056"", ""seq0056"", ""seq0056"", ""seq0056"", ""seq0056"", ""seq0056"", ""seq0056"", ""seq0056""]","[""seq0056_g000392"", ""seq0056_g000393"", ""seq0056_g000394"", ""seq0056_g000395"", ""seq0056_g000396"", ""seq0056_g000397"", ""seq0056_g000398"", ""seq0056_g000399""]","[1706257585.955354, 1706257586.00376, 1706257586.0534306, 1706257586.1023767, 1706257586.1535127, 1706257586.2037024, 1706257586.2538588, 1706257586.316495]",8,160
train,15600,"[""seq0057""]","[""seq0057_g000000""]",[1706257586.3945196],1,0
train,15999,"[""seq0057"", ""seq0057"", ""seq0057"", ""seq0057"", ""seq0057"", ""seq0057"", ""seq0057"", ""seq0057""]","[""seq0057_g000392"", ""seq0057_g000393"", ""seq0057_g000394"", ""seq0057_g000395"", ""seq0057_g000396"", ""seq0057_g000397"", ""seq0057_g000398"", ""seq0057_g000399""]","[1706257606.456216, 1706257606.503299, 1706257606.554288, 1706257606.6167061, 1706257606.6531508, 1706257606.7098203, 1706257606.754646, 1706257606.80242]",8,160
train,16000,"[""seq0058""]","[""seq0058_g000000""]",[1706257606.8537583],1,0
train,16399,"[""seq0058"", ""seq0058"", ""seq0058"", ""seq0058"", ""seq0058"", ""seq0058"", ""seq0058"", ""seq0058""]","[""seq0058_g000392"", ""seq0058_g000393"", ""seq0058_g000394"", ""seq0058_g000395"", ""seq0058_g000396"", ""seq0058_g000397"", ""seq0058_g000398"", ""seq0058_g000399""]","[1706257626.655286, 1706257626.7031527, 1706257626.762444, 1706257626.8058105, 1706257626.8542972, 1706257626.903696, 1706257626.9545286, 1706257627.004811]",8,160
train,16400,"[""seq0060""]","[""seq0060_g000000""]",[1706258160.3701155],1,0
train,16599,"[""seq0060"", ""seq0060"", ""seq0060"", ""seq0060"", ""seq0060"", ""seq0060"", ""seq0060"", ""seq0060""]","[""seq0060_g000192"", ""seq0060_g000193"", ""seq0060_g000194"", ""seq0060_g000195"", ""seq0060_g000196"", ""seq0060_g000197"", ""seq0060_g000198"", ""seq0060_g000199""]","[1706258170.119673, 1706258170.1608222, 1706258170.2039459, 1706258170.245004, 1706258170.2893457, 1706258170.331719, 1706258170.4238272, 1706258170.4698627]",8,160
train,16600,"[""seq0061""]","[""seq0061_g000000""]",[1706258190.433233],1,0
train,16999,"[""seq0061"", ""seq0061"", ""seq0061"", ""seq0061"", ""seq0061"", ""seq0061"", ""seq0061"", ""seq0061""]","[""seq0061_g000392"", ""seq0061_g000393"", ""seq0061_g000394"", ""seq0061_g000395"", ""seq0061_g000396"", ""seq0061_g000397"", ""seq0061_g000398"", ""seq0061_g000399""]","[1706258210.6714396, 1706258210.7231643, 1706258210.7738976, 1706258210.8207684, 1706258210.8728917, 1706258210.9246814, 1706258210.9748492, 1706258211.0224884]",8,160
train,17000,"[""seq0062""]","[""seq0062_g000000""]",[1706258211.0709178],1,0
train,17399,"[""seq0062"", ""seq0062"", ""seq0062"", ""seq0062"", ""seq0062"", ""seq0062"", ""seq0062"", ""seq0062""]","[""seq0062_g000392"", ""seq0062_g000393"", ""seq0062_g000394"", ""seq0062_g000395"", ""seq0062_g000396"", ""seq0062_g000397"", ""seq0062_g000398"", ""seq0062_g000399""]","[1706258231.2736032, 1706258231.3332498, 1706258231.3772428, 1706258231.420468, 1706258231.4732158, 1706258231.5348449, 1706258231.5760999, 1706258231.621191]",8,160
train,17400,"[""seq0063""]","[""seq0063_g000000""]",[1706258231.6722634],1,0
train,17799,"[""seq0063"", ""seq0063"", ""seq0063"", ""seq0063"", ""seq0063"", ""seq0063"", ""seq0063"", ""seq0063""]","[""seq0063_g000392"", ""seq0063_g000393"", ""seq0063_g000394"", ""seq0063_g000395"", ""seq0063_g000396"", ""seq0063_g000397"", ""seq0063_g000398"", ""seq0063_g000399""]","[1706258251.621697, 1706258251.6728845, 1706258251.721639, 1706258251.7742755, 1706258251.825349, 1706258251.8727787, 1706258251.9235241, 1706258251.9719157]",8,160
train,17800,"[""seq0064""]","[""seq0064_g000000""]",[1706258252.0180352],1,0
train,18199,"[""seq0064"", ""seq0064"", ""seq0064"", ""seq0064"", ""seq0064"", ""seq0064"", ""seq0064"", ""seq0064""]","[""seq0064_g000392"", ""seq0064_g000393"", ""seq0064_g000394"", ""seq0064_g000395"", ""seq0064_g000396"", ""seq0064_g000397"", ""seq0064_g000398"", ""seq0064_g000399""]","[1706258271.9315228, 1706258271.9751935, 1706258272.0672696, 1706258272.1278427, 1706258272.176412, 1706258272.2242348, 1706258272.2730668, 1706258272.3216105]",8,160
train,18200,"[""seq0069""]","[""seq0069_g000000""]",[1706258515.6397908],1,0
train,18599,"[""seq0069"", ""seq0069"", ""seq0069"", ""seq0069"", ""seq0069"", ""seq0069"", ""seq0069"", ""seq0069""]","[""seq0069_g000392"", ""seq0069_g000393"", ""seq0069_g000394"", ""seq0069_g000395"", ""seq0069_g000396"", ""seq0069_g000397"", ""seq0069_g000398"", ""seq0069_g000399""]","[1706258535.7948933, 1706258535.8438292, 1706258535.8922284, 1706258535.9462378, 1706258535.9969091, 1706258536.0744483, 1706258536.1433198, 1706258536.1925228]",8,160
train,18600,"[""seq0070""]","[""seq0070_g000000""]",[1706258536.24231],1,0
